catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge,,property
Ag@B1C1N1O1,-54717.3556,-50717.88243,-58800.11853,-58833.46601,-0.411573764,0.460985,,-2.76293
Ag@B1C1N1P1,-61948.28183,-57950.45855,-66031.44522,-66064.39554,-0.484949946,0.217975,,-3.16339
Ag@B1C1N1S1,-63494.71606,-59497.44615,-67577.96448,-67610.94022,-0.457057121,0.379208,,-3.24842
Ag@B1C1N2-hex,-54162.23094,-50161.48363,-58245.40039,-58278.49548,-0.421016046,0.505285,,-3.16945
Ag@B1C1N2-opp,-54161.71208,-50161.46741,-58244.91463,-58277.77621,-0.443122209,0.610291,,-3.20255
Ag@B1C1N2-pen,-54161.89033,-50161.24474,-58244.71467,-58278.06455,-0.420779696,0.533616,,-2.82434
Ag@B1C1O1S1,-64049.3552,-60053.24075,-68132.41464,-68165.48254,-0.459553811,0.359472,,-3.05944
Ag@B1C1O2-hex,-55271.66731,-51273.49656,-59354.64354,-59387.95499,-0.42206959,0.449839,,-2.97623
Ag@B1C1O2-opp,-55270.41932,-51272.43392,-59353.56164,-59386.51214,-0.445006599,0.660689,,-3.14232
Ag@B1C1O2-pen,-55271.07613,-51272.01802,-59354.14527,-59387.12147,-0.421151756,0.483142,,-3.06914
Ag@B1C2N1-hex,-53708.06813,-49707.85107,-57791.38703,-57824.41903,-0.445769735,0.488641,,-3.3189
Ag@B1C2N1-opp,-53708.36867,-49707.51981,-57791.21348,-57824.59005,-0.425979165,0.460601,,-2.84481
Ag@B1C2N1-pen,-53708.63863,-49707.77475,-57791.63504,-57824.72039,-0.437658877,0.485843,,-2.99641
Ag@B1C2O1-hex,-54262.3784,-50262.92238,-58345.56719,-58378.77203,-0.441918708,0.491776,,-3.18879
Ag@B1C2O1-opp,-54263.18216,-50263.22639,-58346.52228,-58379.39397,-0.39615311,0.411632,,-3.34012
Ag@B1C2O1-pen,-54263.30218,-50263.54696,-58346.27843,-58379.60433,-0.423502535,0.47247,,-2.97625
Ag@B1N1O2-hex,-55724.34822,-51727.02829,-59807.37743,-59840.39628,-0.438208468,0.599687,,-3.02921
Ag@B1N1O2-opp,-55723.8523,-51726.64361,-59806.97728,-59839.9535,-0.431280077,0.679967,,-3.12498
Ag@B1N1O2-pen,-55724.15589,-51726.61206,-59807.26247,-59840.14909,-0.439154306,0.626551,,-3.10658
Ag@B1N2O1-hex,-55169.09576,-51170.18379,-59251.99443,-59285.28452,-0.433658053,0.65125,,-2.89867
Ag@B1N2O1-opp,-55170.18186,-51171.05647,-59253.43358,-59286.33584,-0.424480756,0.589242,,-3.25172
Ag@B1N2O1-pen,-55170.19328,-51171.31806,-59253.00355,-59286.10172,-0.430672878,0.634702,,-2.81027
Ag@B1N2S1-hex,-63948.41123,-59950.8703,-68031.46486,-68064.44031,-0.479179539,0.478041,,-3.05363
Ag@B1N2S1-opp,-63947.95993,-59951.24637,-68031.04217,-68064.03712,-0.476277934,0.518515,,-3.08224
Ag@B1N2S1-pen,-63948.16418,-59951.03898,-68031.19896,-68064.26404,-0.469315812,0.475927,,-3.03478
Ag@B1N3,-54615.09332,-50614.99151,-58698.59558,-58731.2266,-0.430543083,0.621273,,-3.50226
Ag@B1O2S1-hex,-65056.88133,-61062.44165,-69140.26776,-69173.15496,-0.479834773,0.458682,,-3.38643
Ag@B1O2S1-opp,-65055.8172,-61061.94769,-69139.16761,-69171.79088,-0.458590535,0.528456,,-3.35041
Ag@B1O2S1-pen,-65056.29117,-61061.94948,-69139.46245,-69172.43557,-0.471421473,0.476868,,-3.17128
Ag@C1N1O1P1,-63316.05751,-59318.59461,-67399.14848,-67432.21041,-0.509426705,0.562833,,-3.09097
Ag@C1N1O1S1,-64861.77042,-60866.22513,-68945.23798,-68977.88898,-0.481287109,0.787829,,-3.46756
Ag@C1N1O2-hex,-56084.19224,-52086.22053,-60167.33575,-60200.29167,-0.445790913,0.921993,,-3.14351
Ag@C1N1O2-opp,-56084.15481,-52086.49578,-60167.42302,-60200.29826,-0.417613762,0.922834,,-3.26821
Ag@C1N1O2-pen,-56084.16226,-52086.20751,-60167.15037,-60200.2577,-0.436023843,0.926316,,-2.98811
Ag@C1N2O1-hex,-55529.74238,-51529.85392,-59612.86127,-59645.69595,-0.441914128,0.96225,,-3.11889
Ag@C1N2O1-opp,-55530.28007,-51530.38125,-59613.41544,-59646.23882,-0.441505256,0.939243,,-3.13537
Ag@C1N2O1-pen,-55530.19778,-51530.68773,-59613.41436,-59646.44879,-0.439846106,0.952237,,-3.21658
Ag@C1N2P1-hex,-62763.15885,-58764.23229,-66846.37965,-66879.38263,-0.503316526,0.353754,,-3.2208
Ag@C1N2P1-opp,-62762.41749,-58763.62269,-66845.73756,-66878.64069,-0.50884849,0.522847,,-3.32007
Ag@C1N2P1-pen,-62762.82876,-58763.67616,-66846.22976,-66878.85735,-0.501896341,0.3958,,-3.401
Ag@C1N2S1-hex,-64308.31447,-60310.2523,-68391.71065,-68424.47524,-0.508113827,0.803241,,-3.39618
Ag@C1N2S1-opp,-64308.12117,-60310.66568,-68391.55022,-68424.41951,-0.513700436,0.816988,,-3.42905
Ag@C1N2S1-pen,-64308.35349,-60310.58716,-68391.42459,-68424.42334,-0.503493286,0.80228,,-3.0711
Ag@C1O1P1S1,-72648.46745,-68654.1181,-76731.7376,-76764.63343,-0.573607759,0.251448,,-3.27015
Ag@C1O2P1-hex,-63871.68653,-59875.89684,-67955.11953,-67987.96445,-0.483979422,0.329596,,-3.433
Ag@C1O2P1-opp,-63870.56403,-59874.86892,-67953.63437,-67986.67058,-0.437534346,0.529594,,-3.07034
Ag@C1O2P1-pen,-63870.93891,-59874.56245,-67954.31063,-67987.32482,-0.47335823,0.369453,,-3.37172
Ag@C1O2S1-hex,-65416.72785,-61422.01023,-69499.81946,-69532.79789,-0.479391596,0.775673,,-3.09161
Ag@C1O2S1-opp,-65416.43452,-61422.19811,-69499.54097,-69532.48186,-0.435387272,0.721996,,-3.10645
Ag@C1O2S1-pen,-65416.55106,-61421.92545,-69499.31614,-69532.67933,-0.460566477,0.739886,,-2.76508
Ag@C2N1O1-hex,-55077.54368,-51077.08062,-59160.7043,-59193.60097,-0.430098249,0.79753,,-3.16062
Ag@C2N1O1-opp,-55076.43186,-51075.89229,-59159.74432,-59192.40105,-0.455120099,0.896887,,-3.31246
Ag@C2N1O1-pen,-55077.16459,-51076.48644,-59160.42936,-59193.48797,-0.431703967,0.825168,,-3.26477
Ag@C2N1P1-hex,-62309.44446,-58310.14336,-66392.77342,-66425.81765,-0.487270196,0.416564,,-3.32896
Ag@C2N1P1-opp,-62309.76374,-58310.33694,-66392.9118,-66425.65143,-0.473686148,0.297491,,-3.14806
Ag@C2N1P1-pen,-62309.47035,-58310.49875,-66392.32514,-66425.54212,-0.487531154,0.374731,,-2.85479
Ag@C2N1S1-hex,-63855.66187,-59857.03402,-67938.91175,-67971.85976,-0.486972742,0.674147,,-3.24988
Ag@C2N1S1-opp,-63855.35627,-59856.21975,-67938.51071,-67971.43354,-0.486193497,0.727477,,-3.15444
Ag@C2N1S1-pen,-63855.36122,-59856.42858,-67938.16802,-67971.47105,-0.489429038,0.70614,,-2.8068
Ag@C2N2-hex,-54522.88667,-50521.04974,-58606.01843,-58638.9432,-0.435342943,0.800605,,-3.13176
Ag@C2N2-opp,-54522.12736,-50520.61261,-58605.58507,-58638.29026,-0.446513336,0.879889,,-3.45771
Ag@C2N2-pen,-54522.73576,-50520.6417,-58605.87645,-58638.94833,-0.434116041,0.837898,,-3.14069
Ag@C2O1P1-hex,-62864.25921,-58865.68788,-66947.00777,-66980.11491,-0.461840721,0.425317,,-2.74856
Ag@C2O1P1-opp,-62864.16374,-58865.89327,-66947.41991,-66980.45702,-0.47759488,0.251632,,-3.25617
Ag@C2O1P1-pen,-62863.71514,-58865.35581,-66947.04389,-66979.82733,-0.464963254,0.347575,,-3.32875
Ag@C2O1S1-hex,-64409.97863,-60413.10529,-68493.18315,-68525.96686,-0.476539231,0.655989,,-3.20452
Ag@C2O1S1-opp,-64409.35922,-60411.81891,-68492.48679,-68525.62582,-0.49147209,0.729198,,-3.12757
Ag@C2O1S1-pen,-64409.208,-60411.98481,-68492.42759,-68525.37817,-0.478240009,0.699627,,-3.21959
Ag@C2O2-hex,-55631.99815,-51632.96429,-59715.07734,-59748.06354,-0.439673277,0.765345,,-3.07919
Ag@C2O2-opp,-55630.09037,-51631.69742,-59713.01561,-59746.53685,-0.424689035,0.88843,,-2.92524
Ag@C2O2-pen,-55631.28231,-51632.01693,-59714.58789,-59747.308,-0.439379141,0.820285,,-3.30558
Ag@C3N1,-54069.41591,-50067.44596,-58152.31033,-58185.57108,-0.436194159,0.749997,,-2.89442
Ag@C3O1,-54624.19883,-50623.27433,-58707.39508,-58740.38478,-0.424036574,0.740698,,-3.19625
Ag@N1O2P1-hex,-64324.08315,-60329.04887,-68406.9704,-68440.13262,-0.467088344,0.493055,,-2.88725
Ag@N1O2P1-opp,-64323.98678,-60328.95496,-68406.75415,-68440.01103,-0.434244359,0.498415,,-2.76737
Ag@N1O2P1-pen,-64323.65277,-60328.58522,-68406.44228,-68439.5806,-0.4601486,0.486305,,-2.78951
Ag@N1O2S1-hex,-65869.49467,-61875.9494,-69952.61243,-69985.69277,-0.450936221,0.816051,,-3.11776
Ag@N1O2S1-opp,-65869.76981,-61876.35338,-69953.01327,-69985.99061,-0.426749062,0.762851,,-3.24346
Ag@N1O2S1-pen,-65869.48741,-61876.17863,-69952.70439,-69985.5188,-0.438631384,0.770564,,-3.21698
Ag@N2O1P1-hex,-63769.63545,-59772.85543,-67852.84854,-67885.88146,-0.456280924,0.52815,,-3.21309
Ag@N2O1P1-opp,-63769.96192,-59773.36574,-67853.17529,-67886.00648,-0.526338467,0.486136,,-3.21337
Ag@N2O1P1-pen,-63769.44552,-59772.94867,-67852.47298,-67885.37151,-0.523901154,0.508401,,-3.02746
Ag@N2O1S1-hex,-65315.23617,-61320.16481,-69398.4633,-69431.42262,-0.458470735,0.831302,,-3.22713
Ag@N2O1S1-opp,-65315.14401,-61320.0979,-69398.40508,-69431.37427,-0.460419807,0.854499,,-3.26107
Ag@N2O1S1-pen,-65314.79903,-61320.00461,-69398.09343,-69430.90772,-0.453592142,0.841585,,-3.2944
Ag@N2O2-hex,-56536.97773,-52540.20351,-60619.8479,-60653.00329,-0.411160514,0.952726,,-2.87017
Ag@N2O2-opp,-56536.82251,-52539.77102,-60620.22748,-60653.08908,-0.401710983,0.959973,,-3.40497
Ag@N2O2-pen,-56536.93128,-52540.0453,-60620.2671,-60653.11028,-0.409145131,0.964626,,-3.33582
Ag@N2P1S1-opp,-72547.5394,-68553.50798,-76630.89238,-76663.68171,-0.549993221,0.407307,,-3.35298
Ag@N3S1,-64760.88413,-60764.18862,-68843.9511,-68877.07959,-0.468618811,0.874583,,-3.06697
Ag@O2P1S1-hex,-73655.47092,-69663.92456,-77738.71528,-77771.55259,-0.582327929,0.370727,,-3.24436
Ag@O2P1S1-pen,-73655.8286,-69664.2905,-77739.16234,-77771.95609,-0.48008284,0.344851,,-3.33374
Cd@B1C1N1O1,-55280.55597,-50717.57593,-59363.63211,-59396.70479,-0.619277908,0.845892,,-3.07614
Cd@B1C1N1S1,-64057.3509,-59497.44615,-68140.67453,-68173.46472,-0.648699006,0.691528,,-3.32363
Cd@B1C1N2-hex,-54725.77311,-50161.48363,-58808.78641,-58841.98919,-0.600947349,0.845878,,-3.0133
Cd@B1C1N2-opp,-54724.91041,-50161.46741,-58808.39883,-58841.21034,-0.605077699,0.957133,,-3.48842
Cd@B1C1N2-pen,-54725.29537,-50161.24474,-58808.73051,-58841.56626,-0.601462584,0.866775,,-3.43514
Cd@B1C1O2-hex,-55834.75254,-51273.49656,-59917.78134,-59950.97043,-0.631432822,0.830435,,-3.0288
Cd@B1C1O2-opp,-55833.78666,-51272.43392,-59916.59344,-59949.74213,-0.582748958,0.899213,,-2.80678
Cd@B1C1O2-pen,-55833.74558,-51272.01802,-59916.58506,-59949.69899,-0.627685666,0.878059,,-2.83948
Cd@B1C2N1-hex,-54271.57024,-49707.85107,-58354.59535,-58387.76102,-0.590502765,0.827988,,-3.02511
Cd@B1C2N1-opp,-54272.32393,-49707.51981,-58355.78564,-58388.50872,-0.581789789,0.770945,,-3.46171
Cd@B1C2N1-pen,-54272.3062,-49707.77475,-58355.50276,-58388.48291,-0.588389805,0.813202,,-3.19656
Cd@B1C2O1-hex,-54825.51762,-50262.81658,-58908.79696,-58941.89015,-0.599941875,0.825339,,-3.27934
Cd@B1C2O1-pen,-54826.85789,-50263.54696,-58910.20509,-58943.40316,-0.602701741,0.799232,,-3.3472
Cd@B1N1O2-hex,-56286.85943,-51727.02829,-60370.12437,-60402.97401,-0.617210838,0.957824,,-3.26494
Cd@B1N1O2-opp,-56287.4082,-51726.52748,-60370.38365,-60403.35699,-0.591224293,0.951234,,-2.97545
Cd@B1N1O2-pen,-56286.89663,-51726.39118,-60370.12422,-60403.09618,-0.607429181,0.990887,,-3.22759
Cd@B1N2O1-opp,-55733.01751,-51171.05647,-59816.08538,-59848.94794,-0.629260659,1.009779,,-3.06787
Cd@B1N2O1-pen,-55732.81112,-51171.31806,-59815.9764,-59849.09255,-0.61196195,0.998157,,-3.16528
Cd@B1N2S1-opp,-64509.87441,-59951.24652,-68593.01041,-68625.92438,-0.66141895,0.858549,,-3.136
Cd@B1N3,-55178.22478,-50614.99328,-59261.50365,-59294.34306,-0.616632243,0.987223,,-3.27887
Cd@B1O2S1-hex,-65618.47382,-61062.44165,-69701.66818,-69734.46588,-0.671665134,0.81701,,-3.19436
Cd@B1O2S1-opp,-65618.59544,-61061.94769,-69701.80681,-69734.86407,-0.632175565,0.783104,,-3.21137
Cd@C1N1O1S1,-65424.42831,-60866.22513,-69507.60724,-69540.69254,-0.617964679,1.090802,,-3.17893
Cd@C1N1O2-hex,-56647.48872,-52086.22053,-60730.23885,-60763.48083,-0.58836956,0.836784,,-2.75013
Cd@C1N1O2-opp,-56648.37513,-52086.49578,-60731.69318,-60764.44369,-0.563088968,1.051907,,-3.31805
Cd@C1N1O2-pen,-56647.79101,-52086.19714,-60730.5521,-60763.94158,-0.574344825,1.201387,,-2.76109
Cd@C1N1P1S1,-72655.56339,-68098.81777,-76738.76082,-76771.61609,-0.692624162,1.196149,,-3.19743
Cd@C1N2O1-hex,-56092.84771,-51529.85206,-60176.18462,-60209.14066,-0.570250256,0.133369,,-3.33691
Cd@C1N2O1-opp,-56093.07321,-51530.46853,-60176.50979,-60209.303,-0.590776516,1.03471,,-3.43658
Cd@C1N2O1-pen,-56093.46662,-51530.64855,-60176.38003,-60209.53332,-0.582274334,1.178469,,-2.91341
Cd@C1N2P1-hex,-63325.24601,-58764.23229,-67408.28822,-67441.2144,-0.656529961,1.237142,,-3.04221
Cd@C1N2P1-opp,-63324.55277,-58763.62469,-67407.80399,-67440.6238,-0.636403591,1.218586,,-3.25122
Cd@C1N2P1-pen,-63324.74715,-58763.69737,-67407.901,-67441.04851,-0.653080645,0.7415,,-3.15385
Cd@C1N2S1-hex,-64870.21557,-60310.32546,-68953.70868,-68986.27114,-0.640704494,0.901253,,-3.49311
Cd@C1N2S1-opp,-64870.28213,-60310.66568,-68953.5622,-68986.45871,-0.640581789,0.784843,,-3.28007
Cd@C1N2S1-pen,-64870.32177,-60310.6771,-68953.56106,-68986.46036,-0.637222839,1.089344,,-3.23929
Cd@C1N3,-55538.56975,-50974.28955,-59621.64806,-59654.72539,-0.588324093,1.105899,,-3.07831
Cd@C1O1P1S1,-73209.58417,-68654.1181,-77292.75354,-77325.75082,-0.683388149,1.233048,,-3.16937
