materials,property,LSm,HSm,dCSm,pCHa,FLs,ECSm,EISm,EASm,EFs,AEAHa,RSm,ARpHa,MdLSm,DSm,AqHa,ENSm,NdSm
CCCC-Mn,-0.19755,-3.4853,-4.3042,-0.5789,-2.02232,-3.8438,-3.1315,7.434,0.0,8.77596,1.59506,1.4,0.644,4.45,7.47,0.26549,1.55,5.0
CCCC-Mo,-1.1542,-1.7437,-4.5378,-0.1961,-2.02232,-3.8438,-5.705,7.092,0.745,8.77596,1.59506,1.45,0.644,4.65,10.28,0.26549,2.16,5.0
CCCC-Pd,0.47255,-3.2381,-3.9768,-1.4843,-2.02232,-3.8438,-3.0964,8.337,0.557,8.77596,1.59506,1.4,0.644,5.45,12.023,0.26549,2.2,10.0
CCCC-Pt,0.51138,-4.9378,-5.5279,-2.3468,-2.02232,-3.8438,-4.9436,9.02,2.128,8.77596,1.59506,1.35,0.644,5.65,21.45,0.26549,2.28,9.0
CCCC-Rh,0.34289,-3.2357,-3.9932,-1.7582,-2.02232,-3.8438,-5.4804,7.459,1.137,8.77596,1.59506,1.35,0.644,5.4,12.45,0.26549,2.28,8.0
CCCC-Ru,-0.25693,-3.7016,-4.6195,-1.515,-2.02232,-3.8438,-6.5823,7.361,1.05,8.77596,1.59506,1.3,0.644,5.4,12.37,0.26549,2.2,7.0
CCCC-Sc,-0.53079,-3.2576,-3.8073,2.2982,-2.02232,-3.8438,-4.1601,6.562,0.188,8.77596,1.59506,1.6,0.644,3.25,2.985,0.26549,1.36,1.0
CCCC-Ta,-2.0766,-2.3395,-4.1118,1.7577,-2.02232,-3.8438,-7.9459,7.89,0.32,8.77596,1.59506,1.45,0.644,4.05,16.65,0.26549,1.5,3.0
CCCC-Ti,-1.1284,-2.8395,-2.8715,1.57,-2.02232,-3.8438,-5.4049,6.828,0.079,8.77596,1.59506,1.4,0.644,3.65,4.507,0.26549,1.54,2.0
CCCC-V,-1.387,-1.7318,-2.8683,1.1689,-2.02232,-3.8438,-5.0589,6.746,0.524,8.77596,1.59506,1.35,0.644,4.25,6.11,0.26549,1.63,3.0
CCCC-W,-1.58501,-2.6786,-4.0064,0.0262,-2.02232,-3.8438,-7.7397,7.98,0.815,8.77596,1.59506,1.35,0.644,4.8,19.25,0.26549,2.36,4.0
CCCC-Y,-0.58081,-2.4603,-3.602,2.5942,-2.02232,-3.8438,-4.2729,6.22,0.307,8.77596,1.59506,1.8,0.644,3.2,4.472,0.26549,1.22,1.0
CCCC-Zn,-0.01118,-0.6498,-5.8522,-6.6672,-2.02232,-3.8438,-0.717,9.394,0.0,8.77596,1.59506,1.35,0.644,4.1,7.14,0.26549,1.65,10.0
CCCC-Zr,-1.02534,-2.7471,-2.8313,1.7376,-2.02232,-3.8438,-6.2538,6.634,0.426,8.77596,1.59506,1.55,0.644,3.4,6.511,0.26549,1.33,2.0
NNNN-Ag,-0.21973,-3.8403,-4.5659,-3.7706,-3.42378,-4.0205,-2.0183,7.576,1.302,4.05441,0.073,1.6,0.523,4.45,10.49,2.77857,1.93,10.0
NNNN-Au,-0.1887,-5.2426,-5.9456,-3.2861,-3.42378,-4.0205,-2.4188,9.225,2.309,4.05441,0.073,1.35,0.523,5.15,19.3,2.77857,2.54,10.0
NNNN-Co,0.7201,-3.9152,-3.9463,-1.6744,-3.42378,-4.0205,-5.1966,7.881,0.66,4.05441,0.073,1.35,0.523,5.1,8.9,2.77857,1.88,7.0
NNNN-Cr,-0.14051,-1.6383,-3.5634,-0.0056,-3.42378,-4.0205,-3.5882,6.767,0.666,4.05441,0.073,1.4,0.523,4.65,7.19,2.77857,1.66,5.0
NNNN-Cu,-0.00359,-3.9515,-4.7251,-2.3336,-3.42378,-4.0205,-3.0383,7.727,1.227,4.05441,0.073,1.35,0.523,4.55,8.96,2.77857,1.9,10.0
NNNN-Fe,0.62247,-4.2604,-4.3671,-1.1981,-3.42378,-4.0205,-4.8008,7.903,0.163,4.05441,0.073,1.4,0.523,4.93,7.874,2.77857,1.83,6.0
NNNN-Hf,-2.72801,-2.9349,-4.3792,2.1396,-3.42378,-4.0205,-6.4029,6.825,0.0,4.05441,0.073,1.55,0.523,3.55,13.31,2.77857,1.3,2.0
NNNN-Hg,0.39254,-0.7065,-6.681,-6.1561,-3.42378,-4.0205,0.3374,10.438,0.0,4.05441,0.073,1.5,0.523,4.2,13.534,2.77857,2.0,10.0
NNNN-Ir,0.67301,-4.9944,-5.0181,-2.4149,-3.42378,-4.0205,-7.0859,9.12,1.57,4.05441,0.073,1.35,0.523,5.55,22.56,2.77857,2.2,7.0
NNNN-Mn,0.47816,-3.4853,-4.3042,-0.5789,-3.42378,-4.0205,-3.1315,7.434,0.0,4.05441,0.073,1.4,0.523,4.45,7.47,2.77857,1.55,5.0
NNNN-Ni,-0.15727,-3.7066,-3.88,-1.5395,-3.42378,-4.0205,-4.4744,7.64,1.16,4.05441,0.073,1.35,0.523,5.2,8.908,2.77857,1.91,8.0
NNNN-Os,-0.09702,-4.6506,-5.2144,-1.7538,-3.42378,-4.0205,-7.8962,8.71,1.1,4.05441,0.073,1.3,0.523,5.4,22.59,2.77857,2.2,6.0
NNNN-Pd,-0.29523,-3.2381,-3.9768,-1.4843,-3.42378,-4.0205,-3.0964,8.337,0.557,4.05441,0.073,1.4,0.523,5.45,12.023,2.77857,2.2,10.0
NNNN-Pt,-0.51871,-4.9378,-5.5279,-2.3468,-3.42378,-4.0205,-4.9436,9.02,2.128,4.05441,0.073,1.35,0.523,5.65,21.45,2.77857,2.28,9.0
NNNN-Rh,0.73827,-3.2357,-3.9932,-1.7582,-3.42378,-4.0205,-5.4804,7.459,1.137,4.05441,0.073,1.35,0.523,5.4,12.45,2.77857,2.28,8.0
NNNN-Ru,0.08816,-3.7016,-4.6195,-1.515,-3.42378,-4.0205,-6.5823,7.361,1.05,4.05441,0.073,1.3,0.523,5.4,12.37,2.77857,2.2,7.0
NNNN-Sc,-1.73357,-3.2576,-3.8073,2.2982,-3.42378,-4.0205,-4.1601,6.562,0.188,4.05441,0.073,1.6,0.523,3.25,2.985,2.77857,1.36,1.0
NNNN-Ti,-2.0157,-2.8395,-2.8715,1.57,-3.42378,-4.0205,-5.4049,6.828,0.079,4.05441,0.073,1.4,0.523,3.65,4.507,2.77857,1.54,2.0
NNNN-Y,-1.51453,-2.4603,-3.602,2.5942,-3.42378,-4.0205,-4.2729,6.22,0.307,4.05441,0.073,1.8,0.523,3.2,4.472,2.77857,1.22,1.0
NNNN-Zn,0.71813,-0.6498,-5.8522,-6.6672,-3.42378,-4.0205,-0.717,9.394,0.0,4.05441,0.073,1.35,0.523,4.1,7.14,2.77857,1.65,10.0
NNNN-Zr,-2.43927,-2.7471,-2.8313,1.7376,-3.42378,-4.0205,-6.2538,6.634,0.426,4.05441,0.073,1.55,0.523,3.4,6.511,2.77857,1.33,2.0
PPPP-Ag,0.63901,-3.8403,-4.5659,-3.7706,-3.41624,-3.1029,-2.0183,7.576,1.302,8.58754,0.746,1.6,0.978,4.45,10.49,-2.85929,1.93,10.0
PPPP-Au,0.38059,-5.2426,-5.9456,-3.2861,-3.41624,-3.1029,-2.4188,9.225,2.309,8.58754,0.746,1.35,0.978,5.15,19.3,-2.85929,2.54,10.0
PPPP-Cd,0.90246,-0.7368,-5.4994,-7.6339,-3.41624,-3.1029,-0.3509,8.994,0.0,8.58754,0.746,1.55,0.978,4.05,8.65,-2.85929,1.69,10.0
PPPP-Co,0.66402,-3.9152,-3.9463,-1.6744,-3.41624,-3.1029,-5.1966,7.881,0.66,8.58754,0.746,1.35,0.978,5.1,8.9,-2.85929,1.88,7.0
PPPP-Cu,-0.04763,-3.9515,-4.7251,-2.3336,-3.41624,-3.1029,-3.0383,7.727,1.227,8.58754,0.746,1.35,0.978,4.55,8.96,-2.85929,1.9,10.0
PPPP-Fe,0.3152,-4.2604,-4.3671,-1.1981,-3.41624,-3.1029,-4.8008,7.903,0.163,8.58754,0.746,1.4,0.978,4.93,7.874,-2.85929,1.83,6.0
PPPP-Ni,0.41767,-3.7066,-3.88,-1.5395,-3.41624,-3.1029,-4.4744,7.64,1.16,8.58754,0.746,1.35,0.978,5.2,8.908,-2.85929,1.91,8.0
PPPP-Pd,0.43335,-3.2381,-3.9768,-1.4843,-3.41624,-3.1029,-3.0964,8.337,0.557,8.58754,0.746,1.4,0.978,5.45,12.023,-2.85929,2.2,10.0
PPPP-Pt,-0.20053,-4.9378,-5.5279,-2.3468,-3.41624,-3.1029,-4.9436,9.02,2.128,8.58754,0.746,1.35,0.978,5.65,21.45,-2.85929,2.28,9.0
PPPP-Ru,0.63733,-3.7016,-4.6195,-1.515,-3.41624,-3.1029,-6.5823,7.361,1.05,8.58754,0.746,1.3,0.978,5.4,12.37,-2.85929,2.2,7.0
PPPP-Zn,0.01232,-0.6498,-5.8522,-6.6672,-3.41624,-3.1029,-0.717,9.394,0.0,8.58754,0.746,1.35,0.978,4.1,7.14,-2.85929,1.65,10.0
PPPP-Zr,-1.09774,-2.7471,-2.8313,1.7376,-3.41624,-3.1029,-6.2538,6.634,0.426,8.58754,0.746,1.55,0.978,3.4,6.511,-2.85929,1.33,2.0
OOOO-Ag,0.49617,-3.8403,-4.5659,-3.7706,-6.21451,-2.8635,-2.0183,7.576,1.302,-1.9752,1.461,1.6,0.441,4.45,10.49,1.6148,1.93,10.0
OOOO-Cd,-0.78011,-0.7368,-5.4994,-7.6339,-6.21451,-2.8635,-0.3509,8.994,0.0,-1.9752,1.461,1.55,0.441,4.05,8.65,1.6148,1.69,10.0
OOOO-Co,-0.45155,-3.9152,-3.9463,-1.6744,-6.21451,-2.8635,-5.1966,7.881,0.66,-1.9752,1.461,1.35,0.441,5.1,8.9,1.6148,1.88,7.0
OOOO-Cu,-0.69706,-3.9515,-4.7251,-2.3336,-6.21451,-2.8635,-3.0383,7.727,1.227,-1.9752,1.461,1.35,0.441,4.55,8.96,1.6148,1.9,10.0
OOOO-Ir,0.19024,-4.9944,-5.0181,-2.4149,-6.21451,-2.8635,-7.0859,9.12,1.57,-1.9752,1.461,1.35,0.441,5.55,22.56,1.6148,2.2,7.0
OOOO-Ni,-1.07604,-3.7066,-3.88,-1.5395,-6.21451,-2.8635,-4.4744,7.64,1.16,-1.9752,1.461,1.35,0.441,5.2,8.908,1.6148,1.91,8.0
OOOO-Pd,0.4252,-3.2381,-3.9768,-1.4843,-6.21451,-2.8635,-3.0964,8.337,0.557,-1.9752,1.461,1.4,0.441,5.45,12.023,1.6148,2.2,10.0
OOOO-Pt,-0.64318,-4.9378,-5.5279,-2.3468,-6.21451,-2.8635,-4.9436,9.02,2.128,-1.9752,1.461,1.35,0.441,5.65,21.45,1.6148,2.28,9.0
OOOO-Zn,0.03251,-0.6498,-5.8522,-6.6672,-6.21451,-2.8635,-0.717,9.394,0.0,-1.9752,1.461,1.35,0.441,4.1,7.14,1.6148,1.65,10.0
SSSS-Ag,0.35466,-3.8403,-4.5659,-3.7706,-4.88394,-2.4346,-2.0183,7.576,1.302,10.72213,2.073,1.6,0.855,4.45,10.49,-1.80417,1.93,10.0
SSSS-Co,0.12753,-3.9152,-3.9463,-1.6744,-4.88394,-2.4346,-5.1966,7.881,0.66,10.72213,2.073,1.35,0.855,5.1,8.9,-1.80417,1.88,7.0
SSSS-Fe,0.65871,-4.2604,-4.3671,-1.1981,-4.88394,-2.4346,-4.8008,7.903,0.163,10.72213,2.073,1.4,0.855,4.93,7.874,-1.80417,1.83,6.0
SSSS-Hg,-0.62274,-0.7065,-6.681,-6.1561,-4.88394,-2.4346,0.3374,10.438,0.0,10.72213,2.073,1.5,0.855,4.2,13.534,-1.80417,2.0,10.0
SSSS-Ir,0.22083,-4.9944,-5.0181,-2.4149,-4.88394,-2.4346,-7.0859,9.12,1.57,10.72213,2.073,1.35,0.855,5.55,22.56,-1.80417,2.2,7.0
SSSS-Rh,-0.05709,-3.2357,-3.9932,-1.7582,-4.88394,-2.4346,-5.4804,7.459,1.137,10.72213,2.073,1.35,0.855,5.4,12.45,-1.80417,2.28,8.0
SSSS-Zn,0.85685,-0.6498,-5.8522,-6.6672,-4.88394,-2.4346,-0.717,9.394,0.0,10.72213,2.073,1.35,0.855,4.1,7.14,-1.80417,1.65,10.0
NNCO-1-Ag,0.7043,-3.8403,-4.5659,-3.7706,-4.24302,-3.4242,-2.0183,7.576,1.302,4.32772,0.8004,1.6,0.53275,4.45,10.49,1.82513,1.93,10.0
NNCO-1-Au,0.45109,-5.2426,-5.9456,-3.2861,-4.24302,-3.4242,-2.4188,9.225,2.309,4.32772,0.8004,1.35,0.53275,5.15,19.3,1.82513,2.54,10.0
NNCO-1-Cd,0.42029,-0.7368,-5.4994,-7.6339,-4.24302,-3.4242,-0.3509,8.994,0.0,4.32772,0.8004,1.55,0.53275,4.05,8.65,1.82513,1.69,10.0
NNCO-1-Co,0.76582,-3.9152,-3.9463,-1.6744,-4.24302,-3.4242,-5.1966,7.881,0.66,4.32772,0.8004,1.35,0.53275,5.1,8.9,1.82513,1.88,7.0
NNCO-1-Cr,-0.23615,-1.6383,-3.5634,-0.0056,-4.24302,-3.4242,-3.5882,6.767,0.666,4.32772,0.8004,1.4,0.53275,4.65,7.19,1.82513,1.66,5.0
NNCO-1-Cu,0.30862,-3.9515,-4.7251,-2.3336,-4.24302,-3.4242,-3.0383,7.727,1.227,4.32772,0.8004,1.35,0.53275,4.55,8.96,1.82513,1.9,10.0
NNCO-1-Fe,0.35245,-4.2604,-4.3671,-1.1981,-4.24302,-3.4242,-4.8008,7.903,0.163,4.32772,0.8004,1.4,0.53275,4.93,7.874,1.82513,1.83,6.0
NNCO-1-Hg,0.16029,-0.7065,-6.681,-6.1561,-4.24302,-3.4242,0.3374,10.438,0.0,4.32772,0.8004,1.5,0.53275,4.2,13.534,1.82513,2.0,10.0
NNCO-1-Ir,0.40274,-4.9944,-5.0181,-2.4149,-4.24302,-3.4242,-7.0859,9.12,1.57,4.32772,0.8004,1.35,0.53275,5.55,22.56,1.82513,2.2,7.0
NNCO-1-Mn,0.02329,-3.4853,-4.3042,-0.5789,-4.24302,-3.4242,-3.1315,7.434,0.0,4.32772,0.8004,1.4,0.53275,4.45,7.47,1.82513,1.55,5.0
NNCO-1-Ni,0.05005,-3.7066,-3.88,-1.5395,-4.24302,-3.4242,-4.4744,7.64,1.16,4.32772,0.8004,1.35,0.53275,5.2,8.908,1.82513,1.91,8.0
NNCO-1-Pd,-0.24899,-3.2381,-3.9768,-1.4843,-4.24302,-3.4242,-3.0964,8.337,0.557,4.32772,0.8004,1.4,0.53275,5.45,12.023,1.82513,2.2,10.0
NNCO-1-Pt,-0.32114,-4.9378,-5.5279,-2.3468,-4.24302,-3.4242,-4.9436,9.02,2.128,4.32772,0.8004,1.35,0.53275,5.65,21.45,1.82513,2.28,9.0
NNCO-1-Rh,0.83793,-3.2357,-3.9932,-1.7582,-4.24302,-3.4242,-5.4804,7.459,1.137,4.32772,0.8004,1.35,0.53275,5.4,12.45,1.82513,2.28,8.0
NNCO-1-Ru,-0.12147,-3.7016,-4.6195,-1.515,-4.24302,-3.4242,-6.5823,7.361,1.05,4.32772,0.8004,1.3,0.53275,5.4,12.37,1.82513,2.2,7.0
NNCO-1-Sc,-1.76939,-3.2576,-3.8073,2.2982,-4.24302,-3.4242,-4.1601,6.562,0.188,4.32772,0.8004,1.6,0.53275,3.25,2.985,1.82513,1.36,1.0
NNCO-1-Ti,-2.1266,-2.8395,-2.8715,1.57,-4.24302,-3.4242,-5.4049,6.828,0.079,4.32772,0.8004,1.4,0.53275,3.65,4.507,1.82513,1.54,2.0
NNCO-1-Y,-1.61179,-2.4603,-3.602,2.5942,-4.24302,-3.4242,-4.2729,6.22,0.307,4.32772,0.8004,1.8,0.53275,3.2,4.472,1.82513,1.22,1.0
NNCO-1-Zn,0.64175,-0.6498,-5.8522,-6.6672,-4.24302,-3.4242,-0.717,9.394,0.0,4.32772,0.8004,1.35,0.53275,4.1,7.14,1.82513,1.65,10.0
NNCO-1-Zr,-2.43517,-2.7471,-2.8313,1.7376,-4.24302,-3.4242,-6.2538,6.634,0.426,4.32772,0.8004,1.55,0.53275,3.4,6.511,1.82513,1.33,2.0
NNCP-1-Ag,0.62494,-3.8403,-4.5659,-3.7706,-3.57081,-3.3141,-2.0183,7.576,1.302,4.79915,0.62161,1.6,0.667,4.45,10.49,0.591,1.93,10.0
NNCP-1-Au,-0.25539,-5.2426,-5.9456,-3.2861,-3.57081,-3.3141,-2.4188,9.225,2.309,4.79915,0.62161,1.35,0.667,5.15,19.3,0.591,2.54,10.0
NNCP-1-Cd,0.02242,-0.7368,-5.4994,-7.6339,-3.57081,-3.3141,-0.3509,8.994,0.0,4.79915,0.62161,1.55,0.667,4.05,8.65,0.591,1.69,10.0
NNCP-1-Co,0.35896,-3.9152,-3.9463,-1.6744,-3.57081,-3.3141,-5.1966,7.881,0.66,4.79915,0.62161,1.35,0.667,5.1,8.9,0.591,1.88,7.0
NNCP-1-Cu,-0.10836,-3.9515,-4.7251,-2.3336,-3.57081,-3.3141,-3.0383,7.727,1.227,4.79915,0.62161,1.35,0.667,4.55,8.96,0.591,1.9,10.0
NNCP-1-Fe,0.02633,-4.2604,-4.3671,-1.1981,-3.57081,-3.3141,-4.8008,7.903,0.163,4.79915,0.62161,1.4,0.667,4.93,7.874,0.591,1.83,6.0
NNCP-1-Hf,-2.10644,-2.9349,-4.3792,2.1396,-3.57081,-3.3141,-6.4029,6.825,0.0,4.79915,0.62161,1.55,0.667,3.55,13.31,0.591,1.3,2.0
NNCP-1-Hg,-0.14045,-0.7065,-6.681,-6.1561,-3.57081,-3.3141,0.3374,10.438,0.0,4.79915,0.62161,1.5,0.667,4.2,13.534,0.591,2.0,10.0
NNCP-1-Ir,0.64356,-4.9944,-5.0181,-2.4149,-3.57081,-3.3141,-7.0859,9.12,1.57,4.79915,0.62161,1.35,0.667,5.55,22.56,0.591,2.2,7.0
NNCP-1-Mn,-0.12954,-3.4853,-4.3042,-0.5789,-3.57081,-3.3141,-3.1315,7.434,0.0,4.79915,0.62161,1.4,0.667,4.45,7.47,0.591,1.55,5.0
NNCP-1-Ni,0.65304,-3.7066,-3.88,-1.5395,-3.57081,-3.3141,-4.4744,7.64,1.16,4.79915,0.62161,1.35,0.667,5.2,8.908,0.591,1.91,8.0
NNCP-1-Pd,0.44553,-3.2381,-3.9768,-1.4843,-3.57081,-3.3141,-3.0964,8.337,0.557,4.79915,0.62161,1.4,0.667,5.45,12.023,0.591,2.2,10.0
NNCP-1-Pt,0.47509,-4.9378,-5.5279,-2.3468,-3.57081,-3.3141,-4.9436,9.02,2.128,4.79915,0.62161,1.35,0.667,5.65,21.45,0.591,2.28,9.0
NNCP-1-Rh,0.74831,-3.2357,-3.9932,-1.7582,-3.57081,-3.3141,-5.4804,7.459,1.137,4.79915,0.62161,1.35,0.667,5.4,12.45,0.591,2.28,8.0
NNCP-1-Ru,-0.00972,-3.7016,-4.6195,-1.515,-3.57081,-3.3141,-6.5823,7.361,1.05,4.79915,0.62161,1.3,0.667,5.4,12.37,0.591,2.2,7.0
NNCP-1-Sc,-1.44986,-3.2576,-3.8073,2.2982,-3.57081,-3.3141,-4.1601,6.562,0.188,4.79915,0.62161,1.6,0.667,3.25,2.985,0.591,1.36,1.0
NNCP-1-Ti,-1.83714,-2.8395,-2.8715,1.57,-3.57081,-3.3141,-5.4049,6.828,0.079,4.79915,0.62161,1.4,0.667,3.65,4.507,0.591,1.54,2.0
NNCP-1-V,-1.55773,-1.7318,-2.8683,1.1689,-3.57081,-3.3141,-5.0589,6.746,0.524,4.79915,0.62161,1.35,0.667,4.25,6.11,0.591,1.63,3.0
NNCP-1-Y,-1.51646,-2.4603,-3.602,2.5942,-3.57081,-3.3141,-4.2729,6.22,0.307,4.79915,0.62161,1.8,0.667,3.2,4.472,0.591,1.22,1.0
NNCP-1-Zn,0.19068,-0.6498,-5.8522,-6.6672,-3.57081,-3.3141,-0.717,9.394,0.0,4.79915,0.62161,1.35,0.667,4.1,7.14,0.591,1.65,10.0
NNCP-1-Zr,-1.74335,-2.7471,-2.8313,1.7376,-3.57081,-3.3141,-6.2538,6.634,0.426,4.79915,0.62161,1.55,0.667,3.4,6.511,0.591,1.33,2.0
NNCS-1-Ag,0.73502,-3.8403,-4.5659,-3.7706,-3.28176,-3.4321,1.6894,7.576,1.302,-2.0183,0.0,5.71049,0.63625,8.02125,10.49,0.45,1.05563,0.75
NNCS-1-Au,0.68366,-5.2426,-5.9456,-3.2861,-3.28176,-3.4321,2.3423,9.225,2.309,-2.4188,0.0,5.71049,0.63625,8.02125,19.3,0.15,1.05563,0.75
NNCS-1-Cd,0.38284,-0.7368,-5.4994,-7.6339,-3.28176,-3.4321,0.0767,8.994,0.0,-0.3509,0.0,5.71049,0.63625,8.02125,8.65,0.05,1.05563,0.75
NNCS-1-Co,0.78396,-3.9152,-3.9463,-1.6744,-3.28176,-3.4321,1.3163,7.881,0.66,-5.1966,0.0,5.71049,0.63625,8.02125,8.9,0.1,1.05563,0.75
NNCS-1-Cr,-0.22444,-1.6383,-3.5634,-0.0056,-3.28176,-3.4321,1.5754,6.767,0.666,-3.5882,0.0,5.71049,0.63625,8.02125,7.19,0.65,1.05563,0.75
NNCS-1-Cu,0.215,-3.9515,-4.7251,-2.3336,-3.28176,-3.4321,2.0832,7.727,1.227,-3.0383,0.0,5.71049,0.63625,8.02125,8.96,0.55,1.05563,0.75
NNCS-1-Fe,0.35159,-4.2604,-4.3671,-1.1981,-3.28176,-3.4321,1.223,7.903,0.163,-4.8008,0.0,5.71049,0.63625,8.02125,7.874,0.93,1.05563,0.75
NNCS-1-Hf,-2.52047,-2.9349,-4.3792,2.1396,-3.28176,-3.4321,3.3995,6.825,0.0,-6.4029,0.0,5.71049,0.63625,8.02125,13.31,0.55,1.05563,0.75
NNCS-1-Hg,0.48393,-0.7065,-6.681,-6.1561,-3.28176,-3.4321,0.084,10.438,0.0,0.3374,0.0,5.71049,0.63625,8.02125,13.534,0.2,1.05563,0.75
NNCS-1-Ir,0.76731,-4.9944,-5.0181,-2.4149,-3.28176,-3.4321,3.7415,9.12,1.57,-7.0859,0.0,5.71049,0.63625,8.02125,22.56,0.55,1.05563,0.75
NNCS-1-Mn,0.06621,-3.4853,-4.3042,-0.5789,-3.28176,-3.4321,0.6426,7.434,0.0,-3.1315,0.0,5.71049,0.63625,8.02125,7.47,0.45,1.05563,0.75
NNCS-1-Ni,0.0518,-3.7066,-3.88,-1.5395,-3.28176,-3.4321,2.1143,7.64,1.16,-4.4744,0.0,5.71049,0.63625,8.02125,8.908,0.2,1.05563,0.75
NNCS-1-Pd,-0.44927,-3.2381,-3.9768,-1.4843,-3.28176,-3.4321,1.4095,8.337,0.557,-3.0964,0.0,5.71049,0.63625,8.02125,12.023,0.45,1.05563,0.75
NNCS-1-Pt,-0.54891,-4.9378,-5.5279,-2.3468,-3.28176,-3.4321,3.1818,9.02,2.128,-4.9436,0.0,5.71049,0.63625,8.02125,21.45,0.65,1.05563,0.75
NNCS-1-Rh,0.93324,-3.2357,-3.9932,-1.7582,-3.28176,-3.4321,2.446,7.459,1.137,-5.4804,0.0,5.71049,0.63625,8.02125,12.45,0.4,1.05563,0.75
NNCS-1-Ru,0.14569,-3.7016,-4.6195,-1.515,-3.28176,-3.4321,2.0003,7.361,1.05,-6.5823,0.0,5.71049,0.63625,8.02125,12.37,0.4,1.05563,0.75
NNCS-1-Sc,-1.44148,-3.2576,-3.8073,2.2982,-3.28176,-3.4321,1.6894,6.562,0.188,-4.1601,0.0,5.71049,0.63625,8.02125,2.985,0.25,1.05563,0.75
NNCS-1-Ti,-1.76239,-2.8395,-2.8715,1.57,-3.28176,-3.4321,1.223,6.828,0.079,-5.4049,0.0,5.71049,0.63625,8.02125,4.507,0.65,1.05563,0.75
NNCS-1-Y,-1.38891,-2.4603,-3.602,2.5942,-3.28176,-3.4321,2.7984,6.22,0.307,-4.2729,0.0,5.71049,0.63625,8.02125,4.472,0.2,1.05563,0.75
NNCS-1-Zn,0.6097,-0.6498,-5.8522,-6.6672,-3.28176,-3.4321,0.228,9.394,0.0,-0.717,0.0,5.71049,0.63625,8.02125,7.14,0.1,1.05563,0.75
NNCS-1-Zr,-2.13879,-2.7471,-2.8313,1.7376,-3.28176,-3.4321,3.0886,6.634,0.426,-6.2538,0.0,5.71049,0.63625,8.02125,6.511,0.4,1.05563,0.75
