Name,Metal,dE_OOH,dE_O2
Ag_C1P2S1-hex,Ag,-1.205453449599318,-0.3469280419966285
Ag_C1P2S1-pen,Ag,-1.2767137059094154,-0.45367597165356166
Hg_B1P1S2-hex,Hg,-1.317781391249028,-0.18818228745815624
V_B2C2-opp,V,-1.1886038190168762,0.07541522885255425
Zr_P1S3,Zr,-2.852409191460211,-1.5046508616765468
Ag_C1S3,Ag,-1.2256090723766562,-0.28629957422683994
Rh_C1O2P1-opp,Rh,-1.5781535452546933,-1.0532066951156853
Cu_N1O2S1-hex,Cu,-1.947623838093321,-1.0524719420545612
Pt_N2P2-pen,Pt,-1.3586216204586918,-0.30823797054902435
Pt_N2P2-hex,Pt,-1.4119733602900197,-0.3797354919310951
Cu_N1O2S1-pen,Cu,-1.9761970347991706,-0.9380236491925675
Cd_O1P1S2-pen,Cd,-1.2762568770508125,-0.26824306815869114
Y_B1N1S2-opp,Y,-2.6785405942568588,-2.0871638139787283
Ag_B1P2S1-opp,Ag,-1.3815772447227488,-0.5157573805129605
Cd_O1P1S2-hex,Cd,-1.2941105343522423,-0.26263012126137575
Pd_C2O1S1-opp,Pd,-1.1740476731830114,-0.5044996124987993
Rh_N2P2-opp,Rh,-1.6637077387296841,-0.814991130570812
Os_N2O2-hex,Os,-2.9147162868974448,-1.966157145600656
Ni_B2N1,Ni,-0.8050917331245415,0.47666367363071593
Co_C1S3,Co,-0.8695579905338633,0.05742106623184462
Ru_N3S1,Ru,-1.9229916644442397,-0.7296539983131911
Cr_B1C2P1-pen,Cr,-1.1344808987051493,-0.2747719278687928
Cd_B2N1S1-opp,Cd,-1.3591942386312468,-0.2363832071114107
Os_N1O2P1-opp,Os,-1.88119104034827,-0.9080690353201621
Pd_B1N1O1S1,Pd,-1.2648448461592494,-0.5583411153873303
Cd_C1N3,Cd,-1.169534470649026,-0.13848214420009164
Cr_C2N1O1-pen,Cr,-1.5066468089608662,-0.7212255298627301
Pt_C1O2P1-opp,Pt,-1.4618107344265496,-0.6091518811282217
Mn_N1O1P1S1,Mn,-1.8008427450526057,-0.7576146802941057
Cr_C2N1O1-hex,Cr,-1.5168296987337868,-0.678138756836157
Cr_B1S3,Cr,-0.56223356706586,-0.12217977107835942
Pd_N1O2S1-opp,Pd,-1.8223389182871443,-0.4009305728975878
Zn_C1P1S2-opp,Zn,-1.7083284134337902,-0.3658662806852053
Cd_C3P1,Cd,-1.4151736867414257,-0.2933402767001585
Au_C1O1P2-opp,Au,-1.7740224634183193,-0.7097596455400694
Ag_B1O1S2-pen,Ag,-1.1973597889998047,-0.31588465600405335
Cu_C2O1S1-pen,Cu,-1.3642474513117264,-0.5525999578139054
Ag_B1O1S2-hex,Ag,-1.0603603988748915,-0.25230739037179184
Re_C1O1S1,Re,-2.541861083230245,-1.213234695852842
Cd_B1C1O2-opp,Cd,-1.337673588021815,-0.24009638495008723
Au_N1S2,Au,-1.967299153260754,-0.8159774127195565
Zn_B2N1O1-hex,Zn,-1.6232202143095975,-2.1838153042183226
Ti_B1C2N1-hex,Ti,-2.819166955663789,-1.4184436371818752
Zn_B2N1O1-pen,Zn,-1.4623434106100177,-1.6226498503114417
Tl_B1O1P2-hex,Tl,-1.4503467523060891,-0.6840218368912847
Zn_B1N1P2-pen,Zn,-1.83235275851969,-0.4979191436097299
Zn_B1N1P2-hex,Zn,-1.7032838715982308,-0.37276563202787294
Ag_O3P1,Ag,-1.2158866634654402,-0.3332408092461865
Tl_B1O1P2-pen,Tl,-1.1537795835685785,-0.1978772337040855
Ru_B1C2N1-pen,Ru,-1.8453022789494327,-0.6953725642586424
Cr_P1S2,Cr,-0.7397045678126943,0.306528935802552
W_N1O2S1-opp,W,-0.7763635586095603,-2.4195683205539726
Ru_B1C2N1-hex,Ru,-1.880212357265819,-0.7461565492432474
Os_O1S3,Os,-1.8077724124242565,-0.9408276115786212
Cr_S4,Cr,-0.8541738913946944,-0.13104177305124587
Mn_B1C1N1S1,Mn,-1.1100708656677654,0.0013776378867955685
Zn_C1S3,Zn,-2.2322239917282474,-0.5415677660634319
Tl_B1P1S2-hex,Tl,-1.1407829296882284,-0.16887151859081406
Ir_B2N1S1-hex,Ir,-1.8707312615630514,-0.9319151446743863
Tl_B1P1S2-pen,Tl,-1.115508717218475,-0.17742017761904982
Y_B1P2S1-hex,Y,-2.9680014130484693,-2.031076282724067
Tl_C2N1O1-opp,Tl,-0.9588284093769204,0.17631652492049987
Mn_N2O1S1-opp,Mn,-1.6591358329467454,-0.713966232165129
Ru_C1O3,Ru,-2.9763757282626813,-2.5137475322899068
Y_N1O1S1,Y,-2.6211950376652595,-2.065349230635187
Co_B1C1P2-opp,Co,-1.1583665548440223,0.020724270030731518
Cr_B2N1,Cr,-1.4976729225367222,-0.6581521928566563
Y_N4,Y,-2.16000844167975,-1.3256090971415038
V_B1C1N2-opp,V,-1.4239360035361557,-0.14159073711338444
V_B1C1N1S1,V,-1.3783272945931486,-0.0590917958661894
Pd_B2S2-opp,Pd,-0.9673416410024771,0.06399386259638185
Ag_O2S1,Ag,-1.1283553923759797,-0.19895467300885095
Pt_N2O1P1-opp,Pt,-1.5421753048999705,-0.5359594795177518
Au_C1P1S2-opp,Au,-1.303848098923325,-0.2157101182968777
Au_N2O1S1-hex,Au,-1.8226396113808647,-0.7299737388025083
Au_N2O1S1-pen,Au,-2.1849084472219857,-1.4442184982613444
Au_B2N1O1-hex,Au,-1.1870469838094238,-1.087269343096219
Sc_C2O1P1-pen,Sc,-2.6873339991003746,-2.455419744069255
Mn_B1N1P2-opp,Mn,-1.0731697066717203,-0.026507416429049968
Sc_C2O1P1-hex,Sc,-2.6626453053950883,-1.8650961904270762
Ru_C2N1O1-pen,Ru,-2.27095350279707,-1.3962204843093478
Y_B1P1S1,Y,-2.6152188683584683,-2.5333401731560716
Ru_C2N1O1-hex,Ru,-2.2736153945895268,-1.4400416372551295
Zn_B1O1P2-hex,Zn,-1.6422011022228418,-2.4870738676189976
Zn_B1O1P2-pen,Zn,-1.834956370608566,-0.350777908080639
Pt_N4,Pt,-0.9985562248148341,-0.00499328156517187
Ag_B2C1N1-hex,Ag,-0.8323772257098909,0.037781141079582525
Au_C2O2-hex,Au,-1.5423481619851174,-0.6536872725624026
Au_C2O2-pen,Au,-1.6574726963711015,-0.7097380841138747
Cu_B1O1P1,Cu,-1.5783257759982376,-0.4698892366967957
Pd_B1C2S1-opp,Pd,-2.2588649141948878,-0.10253787125774672
Fe_C1N1O2-opp,Fe,-1.7205195649613216,-0.6961747358433659
Pt_N1O1P1S1,Pt,-1.965214064835564,-1.2408113714600209
Re_N2S2-hex,Re,-2.634205344579996,-1.6993405912084913
Cr_C1N1O2-pen,Cr,-2.0144028637435696,-1.1399472780010829
Cr_C1N1O2-hex,Cr,-1.993498322285589,-1.111360045998575
Pd_N2O1P1-hex,Pd,-1.5676189597824788,-0.5286240006886178
Pd_N2O1P1-pen,Pd,-1.6733041361045053,-0.8173149249188132
Cu_C1O2P1-opp,Cu,-1.586299397031226,-0.5160483923495267
Co_O1P1S2-pen,Co,-1.4773124331192236,-1.1538022530233807
Cd_B2S2-hex,Cd,-1.343449880321785,-0.29740159621381146
Rh_C1S3,Rh,-0.8641381397054175,-0.027244560494219527
Pt_B1C1S1,Pt,-1.3784656873014143,-0.7509283936974303
Au_B1O1P1S1,Au,-1.1811423332340638,-0.5421506074724594
Co_O1P1S2-hex,Co,-1.1134680770104666,-0.15741821888904362
Cd_B2S2-pen,Cd,-1.4981465494837636,-0.45485072286900596
Hg_N1O3,Hg,-1.193319518085346,0.1213046000958311
Cu_C2S2-pen,Cu,-1.0459460002278576,-0.013580107382191287
Ru_C1O1P1,Ru,-2.2463501328983426,-1.0447401715855253
Cd_N2O1P1-opp,Cd,-1.5691001582458313,-0.424278821886654
Ir_N1S3,Ir,-2.706497594824228,-1.8295057927826779
Hg_C2P1S1-opp,Hg,-1.4153043492033959,-0.26766526722142636
Pt_C1N2O1-opp,Pt,-1.6077613304358493,-0.874737039696166
Os_B1C1O1,Os,-1.696925747836147,-0.6269044132583677
Cu_C1P2S1-opp,Cu,-1.326709649830164,-0.20010733440606465
Zn_N1P2S1-opp,Zn,-1.5718241235278043,-0.2990851580031322
Au_N1O2P1-opp,Au,-1.4603299007441848,-0.39452282721223675
Cr_N3S1,Cr,-1.3332014599095743,-0.39644975127962745
Mn_P2S2-hex,Mn,-0.9670970039711193,0.2615717602191321
Ir_C1P2S1-hex,Ir,-2.176626477716937,-2.0607358868719334
Ir_C1P2S1-pen,Ir,-2.9219438650253693,-2.1220566083704657
Au_C3O1,Au,-1.1860016685012766,-0.3241877041043413
Hg_B1N1O2-hex,Hg,-1.1804220899250168,-0.03005584111176951
Pd_O2P1S1-opp,Pd,-1.4982666818056174,-0.5987407461405869
Pd_B1O1S2-hex,Pd,-1.6619254214820245,-0.7195448063440413
Pd_B1O1S2-pen,Pd,-1.4936698036085119,-0.588183889734788
Tc_N1P2S1-opp,Tc,-2.400712973437365,-2.1088886279604058
Zn_B1P1S1,Zn,-1.7200281597562963,-0.3580384609764824
Fe_C2O1P1-opp,Fe,-1.0397328894942603,0.11563411700935511
Cu_B1C1P2-opp,Cu,-1.3578557523173487,-1.8274162388523596
V_B1C1N1P1,V,-1.3228014585485681,0.10702696594969119
Mn_N1O1S2-opp,Mn,-1.516133920444318,-0.6069124937967931
Pd_B1C1N2-pen,Pd,-1.144078540218075,-0.33273868074449275
Mn_O2P1,Mn,-1.6908234864805678,-1.2095017584387424
Pd_B1C1N2-hex,Pd,-1.0672891169605379,-0.3877392273388782
Ta_B1P2S1-pen,Ta,-2.9827337648305985,-1.597751877691488
Ni_B1C1O2-pen,Ni,-1.471446954692695,-0.4460007422900194
Ni_B1C1O2-hex,Ni,-1.5617993733269628,-0.7927879437437841
Ag_C1P3,Ag,-1.3391973432784567,-0.458186153700618
Fe_O1P2S1-pen,Fe,-1.1285070886913928,-0.05579973498081792
Cu_B1N1S2-opp,Cu,-1.3685113973698009,-2.050339469627753
Fe_O1P2S1-hex,Fe,-0.9164353562802177,0.07711841367883743
Re_N1S3,Re,-1.957199474669224,-1.3324828940880966
Y_B1C1O2-opp,Y,-2.55783348882575,-1.8882471923467197
Cd_B1C1N1P1,Cd,-1.266543228374772,-0.18459330240129113
Pt_B1C1N1S1,Pt,-1.3919825021360026,-0.5628545428551011
Au_B2P1S1-hex,Au,-0.6646087475441078,-0.8237362156910795
Au_B2P1S1-pen,Au,-2.321722140093314,-0.22900944569651394
Ru_B2P1S1-opp,Ru,-2.717719047628819,-1.8241512762425405
V_B2C1N1-opp,V,-1.3326285689309572,-0.051375868965218174
Ru_C2P2-opp,Ru,-1.5350457827983206,-0.42366329239136213
Sc_C2P2-hex,Sc,-2.2327522901301364,-2.0005511118052173
Ti_B3N1,Ti,-2.995816610674538,-1.6420976746271467
Zn_B2P1S1-hex,Zn,-1.7716862535931597,-0.25171578828011754
Zn_B2P1S1-pen,Zn,-1.8593987762632338,-0.3850503503123637
Ir_B1O1S2-hex,Ir,-2.480702940429481,-2.046888420497604
Sc_N3S1,Sc,-2.451054411904991,-1.5179775938246767
Pd_C1S2,Pd,-1.385323194441142,-0.4934854647704956
Cu_B1O1S2-opp,Cu,-1.6319279102506385,-0.7342062731623091
Ir_C1O1S2-opp,Ir,-2.8176619707951573,-2.039166120758674
Au_B1C1P1,Au,-1.2845613966236584,-0.08441485522801351
Pt_N1P1S2-opp,Pt,-1.6126695670756277,-0.7185312288441796
Ag_N4,Ag,-1.038180018263759,-0.4262885383261992
Cr_N1O2P1-hex,Cr,-1.7495859640270766,-0.7976881127952797
Cu_N2P1S1-opp,Cu,-1.3955048903053608,-0.31997105233424783
Cr_N1O2P1-pen,Cr,-2.0136464538823162,-1.1258134013586787
Ru_B1C1N1,Ru,-2.5159240164077943,-1.3348351780946164
Pd_C1N2P1-hex,Pd,-1.2443977136526456,-0.09873384172434818
Pd_C1N2P1-pen,Pd,-1.1043744430859448,-0.0692773901357473
Os_B2S2-hex,Os,-2.082745910119641,-2.589527996641758
Rh_C1N1O1P1,Rh,-1.507367231065146,-0.5739500379254228
Cd_C1N2P1-opp,Cd,-1.3301621497198681,-0.21358411269845057
Os_B1P1S2-pen,Os,-2.3442289865653407,-2.264469906212847
Hg_B1O1S1,Hg,-1.0714398279361177,-0.0272136231999216
Y_C2O1P1-hex,Y,-2.484050315405696,-2.211433152990347
Y_C2O1P1-pen,Y,-2.5800699590208325,-1.9403288111086372
Cd_C1N1P2-hex,Cd,-1.4708404078608197,-0.3798566317349614
Ti_C1P3,Ti,-2.7387866208863585,-1.431323598724001
Cd_C1N1P2-pen,Cd,-1.5300581182077764,-0.3499546007426293
Cu_B2N2-pen,Cu,-1.1250742328346206,-1.2708989720492614
Ru_C1N1P1,Ru,-1.8808162187737736,-0.7807193485172466
Fe_N1O1P2-hex,Fe,-0.723085946653228,0.39636420092820934
Au_N1O2,Au,-1.8285487765495674,-0.7690786068264206
Cr_P2S2-opp,Cr,-1.508946841627008,-0.4481376087003728
Co_N3S1,Co,-0.8784898627213948,0.2560535676990039
Co_C2O1P1-pen,Co,-1.1199503355612848,-0.23003422742594104
Tl_S3,Tl,-1.4716050920261665,-0.14847514259137462
Co_C2O1P1-hex,Co,-1.0580493952088688,-0.12122291909245497
Cd_C1P1S2-pen,Cd,-1.5369302243501721,-0.41649548442516426
Cd_C1P1S2-hex,Cd,-1.3238180082825153,-0.3071318216582686
Cu_B2N1,Cu,-1.5753696358028293,-0.4859652300637922
Mn_B2C1P1-opp,Mn,-0.9801907650706454,-1.3652540374775786
Cr_C2O1S1-pen,Cr,-1.5301704900834494,-0.7222472728526927
Cr_C2O1S1-hex,Cr,-1.6812377752222716,-0.8253859364858531
Ag_B3N1,Ag,-0.8709943340477508,-0.02928481842585917
Cd_C1O1P2-pen,Cd,-1.4267651896836497,-0.3746296479400062
Cd_C1O1P2-hex,Cd,-1.4429338998082386,-0.34318258910415445
Y_C3N1,Y,-2.172426617710258,-1.0417213400967658
Y_C1N1O2-hex,Y,-2.513387875441893,-1.881425821127019
Y_C1N1O2-pen,Y,-2.5087443027376963,-1.3573592559311383
Ti_C4,Ti,-2.706227586696528,-1.2778931894556909
Mn_N1O2S1-pen,Mn,-2.0489780475483172,-1.1923212219462958
Cd_B2P1,Cd,-1.3992673448548913,-0.39357292384191034
Mn_N1O2S1-hex,Mn,-1.7591344508210938,-0.9275243034624996
Hg_B1N1O1P1,Hg,-1.030357433573343,-0.04543879495825287
Au_N1O1P1S1,Au,-1.5466718706836247,-0.46882268571315855
Ru_C1P2,Ru,-1.7928855576335678,-0.7005526572267886
Y_B2S2-opp,Y,-2.9109064475592987,-2.5915124953932978
Ru_C2N1S1-hex,Ru,-1.8766984916702114,-0.6447113415722843
Ag_B1N1O1S1,Ag,-1.089687196135415,-0.12578053109596432
Pd_B1O2S1-opp,Pd,-1.3570742082725502,-0.6050530048213236
Rh_C2O2-opp,Rh,-1.721879730826359,-0.6515859897295773
Cd_C1O2S1-opp,Cd,-1.6631214825587364,-0.4629717868775547
Cr_B2S2-opp,Cr,-1.2937290600327316,-1.7077027707467582
Hg_B1C1O2-hex,Hg,-1.2532114343958511,-0.09890889903787503
Hg_B1C1O2-pen,Hg,-1.334170788584359,-0.42793783857795553
Ag_B1P3,Ag,-1.2464086800717524,-0.3968725637367161
Hf_N1S3,Hf,-1.7180085332748973,-2.3725625386215174
Mn_C2N1S1-pen,Mn,-0.9301955347839481,0.22141455991483916
Mn_C2N1S1-hex,Mn,-0.8583668267845752,0.25238592607435884
Ag_P2S2-opp,Ag,-1.3838459141260984,-0.5215569656540229
V_C1N1P1S1,V,-1.3891126289924642,-0.059869865522026444
Tl_B3,Tl,-1.1144915586305757,-0.14913159496465234
Pt_N1P3,Pt,-1.3481728199498235,-0.3765230530192216
Pd_N2P1,Pd,-1.6351953272662314,-0.7040830235568283
Mn_B2P2-hex,Mn,-0.7613355686665528,-1.1124192109999544
Pd_B3N1,Pd,-0.9907841304660252,-0.27084951361227105
V_C1N3,V,-1.3836900362532703,-0.0905130202026303
Os_C1N1S2-opp,Os,-2.2152354025176493,-1.0884317564224748
V_C2N2-hex,V,-1.326260228531126,-0.01731124854146948
Hg_P2S1,Hg,-1.1535953677481672,-0.08212792276519032
V_C2N2-pen,V,-1.3533072478758896,-0.03911634777112205
Fe_N1O2S1-opp,Fe,-1.7599144404869236,-0.7593560964774415
V_B1N1P1S1,V,-1.4631957547278063,-0.14953514316912653
Fe_B1C1O2-hex,Fe,-1.9854188215009714,-1.925782755366848
Fe_B1C1O2-pen,Fe,-2.1595520673494235,-2.3318559307233304
Sc_B1C2S1-hex,Sc,-2.515726053312463,-0.4656268184461201
Pd_B1N2S1-opp,Pd,-1.1038581407398311,-0.21670287414620226
Cr_B1O1S2-opp,Cr,-1.591859748249206,-0.7688626566192429
Pd_O2S2-opp,Pd,-2.1820616344950423,-1.3277395548399031
Cd_C2O1P1-pen,Cd,-1.5815743053223201,-0.45026315451506527
Cd_C2O1P1-hex,Cd,-1.4734747113687519,-0.35192403941815975
Zn_C1O2,Zn,-2.3595327973032596,-1.1329171061546308
Cd_B1C1O1S1,Cd,-1.4060390474950424,-0.3290567523847958
Co_N2O1S1-opp,Co,-1.2961640003098438,-0.2349747622800269
Hg_B3P1,Hg,-1.2653366457844442,-0.12149385079855257
Cu_N1O2P1-hex,Cu,-1.7428558828701313,-0.8727183679568302
Cu_N1O2P1-pen,Cu,-1.7431134328275704,-0.7774481148870027
Ni_O3P1,Ni,-2.057020518922073,-1.0469708433920832
Co_B1S3,Co,-0.6092747179017834,-1.1014410103440841
Y_B1N1P2-opp,Y,-2.3239972703029395,-1.5597831999177547
Au_B2C1O1-hex,Au,-1.157753731239282,-0.33140381619851134
Rh_N2S2-opp,Rh,-1.334974935436847,-0.3758897233944172
Mo_B1C1O2-hex,Mo,-1.9172871509318412,-1.3581729934444216
Co_O2S2-opp,Co,-1.700621806106895,-0.466537373553118
Ru_B1C1P2-opp,Ru,-1.5656437737765287,-0.5616971938241395
Hg_B1N1S2-hex,Hg,-1.0448849648685297,-0.0522437504208515
Mn_C1O2P1-opp,Mn,-1.5802247549438704,-0.7325606041966726
Cu_C2O2-hex,Cu,-1.8693278819084895,-1.1015375555261162
Cu_C2O2-pen,Cu,-1.7684375620387556,-0.7760387187213755
Cd_C1N1P1,Cd,-1.9257917454066984,-0.8152776653079545
Cr_C1S3,Cr,-1.1025970006275685,-0.27404450840541905
Cd_C2P1S1-pen,Cd,-1.5338049977263069,-0.33477542624988565
Cd_C2P1S1-hex,Cd,-1.2657236205296414,-0.22141052043273568
Co_B1O1P2-opp,Co,-1.2203278662103259,-0.31459065484299664
Pd_B1P2,Pd,-1.167351899079577,-0.29341894756809417
Co_C2P2-opp,Co,-0.9233809628868386,0.21876148622006575
Ru_O2P1S1-pen,Ru,-2.4150237580108325,-1.3225810585359827
Ru_O2P1S1-hex,Ru,-2.121925777910988,-1.0089879557421373
Ru_C1N1O1P1,Ru,-2.191551483944366,-2.8706860492404562
Sc_N1O1P2-opp,Sc,-2.6244263918147936,-2.31366516369142
Cd_C3O1,Cd,-1.1754128584587562,-0.47592911060614007
Os_N1S3,Os,-2.0262865528841445,-0.609248601568007
Cu_B2O1P1-opp,Cu,-1.5435064010255388,-2.2274063979659022
Co_B1O2S1-pen,Co,-1.6629600430999432,-1.1830338853284648
Cr_B1N2P1-pen,Cr,-1.3719852925963352,-0.46492745740133934
Cr_O2S1,Cr,-1.0391530675257883,-0.23647048811958804
Mo_B2O1S1-hex,Mo,-0.9577646173760428,-0.20865652239192833
Ag_B1C1P1S1,Ag,-0.9515415711080806,-0.11004855383581891
Y_C2N1,Y,-2.2304989040242873,-1.1006102871568064
Nb_O1P2S1-pen,Nb,-2.96777993264449,-1.5764495460975159
Ir_C2N1P1-opp,Ir,-2.02161398138891,-1.2905061719590467
Au_O2P2-hex,Au,-1.2528579294440334,-0.2143326259932028
Au_O2P2-pen,Au,-1.427690447414662,-0.3900136995119201
Co_C1O1S1,Co,-1.698339974100648,-0.8838748741089066
Cu_C2N1P1-hex,Cu,-0.9893099081207453,-0.07646034834395188
Cu_C2N1P1-pen,Cu,-1.0162153894876411,0.04850861885986113
Hg_B2C1O1-hex,Hg,-1.1867255209101728,-0.38250658340334986
Hg_B2C1O1-pen,Hg,-1.1225012258415887,-0.447197923653599
Pt_C2N1O1-hex,Pt,-1.5405985354322667,-0.7584243425733153
Pt_C2N1O1-pen,Pt,-1.649715545117047,-0.7565216011162565
Ag_B1P2,Ag,-1.3752576592017505,-0.5300163425047604
Co_N2S1,Co,-1.0441297891289452,0.13621896712426995
Pd_O1P2S1-pen,Pd,-1.5474677742736418,-0.6031203903412266
Pd_O1P2S1-hex,Pd,-1.316675651812389,-0.16033609180326813
Ag_P1S2,Ag,-1.6229931549990653,-0.7680009956361378
Ir_B1C1S1,Ir,-1.5434194828215624,-0.7536296588974469
V_C1P2S1-pen,V,-0.9851794943734973,0.3882175079249546
V_C1P2S1-hex,V,-0.7862774949185365,0.17640270601397923
Mn_O1S2,Mn,-1.2950825903377137,-0.23432915874171023
Co_O1P3,Co,-1.3306812488874726,0.238257326271329
Tl_B1O1P2-opp,Tl,-1.0444593990722666,-0.136449208633886
Zn_B1N1P2-opp,Zn,-1.671695871878697,-0.5383301050097575
Ru_B1C1S1,Ru,-2.1748479875633535,-1.0423928931058786
Ru_B1C2N1-opp,Ru,-1.963523616005105,-1.8512562119891331
Cd_B1C1O2-hex,Cd,-1.395633709531765,-0.5804742041306472
Ni_O4,Ni,-1.7113920764894175,-0.6212046247535259
Cd_B1C1O2-pen,Cd,-1.4450210616602845,-0.6710578501979203
Ag_O1P3,Ag,-1.5662991784270304,-0.7044243635824987
Cd_P3,Cd,-1.26298261576666,-0.28559698276181145
